phantom,photon_i0,views,eta,rmse_fbp,rmse_art_best,art_iters,rmse_sirt_best,sirt_iters,rmse_asdpocs_best,asdpocs_iters,gain_vs_sirt,ssim_sirt_best,ssim_asdpocs_best,at_grid_edge
shepp_logan,3e+04,30,0.00897,0.099366,0.044075,100,0.039983,3200,0.018129,300,0.5466,0.8881,0.9717,1
shepp_logan,3e+04,60,0.00921,0.088613,0.027113,35,0.023122,3200,0.011829,200,0.4884,0.9278,0.9733,0
shepp_logan,3e+04,90,0.00897,0.087287,0.020837,20,0.016736,3200,0.009182,145,0.4514,0.9476,0.9789,0
shepp_logan,3e+03,30,0.02872,0.103172,0.065554,20,0.061967,800,0.041336,145,0.3329,0.7961,0.8478,0
shepp_logan,3e+03,60,0.02926,0.091008,0.05507,12,0.047901,800,0.032964,100,0.3118,0.8295,0.8312,0
shepp_logan,3e+03,90,0.02828,0.088935,0.052383,12,0.037809,800,0.029567,100,0.218,0.8636,0.8272,0
shepp_logan,3e+02,30,0.09137,0.137966,0.121753,5,0.107617,100,0.100727,100,0.064,0.5998,0.5585,0
shepp_logan,3e+02,60,0.09319,0.110682,0.132675,5,0.093005,100,0.093741,50,-0.0079,0.6526,0.5117,0
shepp_logan,3e+02,90,0.0907,0.103125,0.128317,5,0.083617,200,0.092003,50,-0.1003,0.6873,0.5194,0
tv_adversarial,3e+04,30,0.0088,0.096713,0.053215,100,0.052692,3200,0.022968,300,0.5641,0.8532,0.9679,1
tv_adversarial,3e+04,60,0.0091,0.086184,0.032321,35,0.031459,3200,0.013717,200,0.564,0.9147,0.9765,0
tv_adversarial,3e+04,90,0.00894,0.085193,0.022907,20,0.021039,3200,0.01143,145,0.4567,0.9444,0.9813,0
tv_adversarial,3e+03,30,0.02826,0.100646,0.067716,20,0.06594,1600,0.04468,145,0.3224,0.7585,0.8789,0
tv_adversarial,3e+03,60,0.02891,0.08909,0.057825,12,0.052935,800,0.035595,100,0.3276,0.8057,0.8728,0
tv_adversarial,3e+03,90,0.02821,0.086651,0.054017,12,0.043313,800,0.031544,100,0.2717,0.8443,0.8737,0
tv_adversarial,3e+02,30,0.09036,0.135789,0.118048,5,0.106054,100,0.097278,100,0.0827,0.5877,0.591,0
tv_adversarial,3e+02,60,0.09221,0.109599,0.128465,3,0.093246,100,0.094341,50,-0.0117,0.6437,0.5616,0
tv_adversarial,3e+02,90,0.09048,0.10077,0.128847,3,0.087725,200,0.090913,50,-0.0363,0.6529,0.5769,0
