views,eta,method,iters,rmse_in_circle
30,0.00897,ART,1,0.18384
30,0.00897,ART,2,0.10637
30,0.00897,ART,3,0.085284
30,0.00897,ART,5,0.06869
30,0.00897,ART,8,0.060984
30,0.00897,ART,12,0.05602
30,0.00897,ART,20,0.051209
30,0.00897,ART,35,0.047245
30,0.00897,ART,60,0.044776
30,0.00897,ART,100,0.044075
30,0.00897,SIRT,20,0.134738
30,0.00897,SIRT,50,0.103776
30,0.00897,SIRT,100,0.082697
30,0.00897,SIRT,200,0.066439
30,0.00897,SIRT,400,0.055663
30,0.00897,SIRT,800,0.048436
30,0.00897,SIRT,1600,0.04338
30,0.00897,SIRT,3200,0.039983
60,0.00921,ART,1,0.185693
60,0.00921,ART,2,0.111847
60,0.00921,ART,3,0.080576
60,0.00921,ART,5,0.053494
60,0.00921,ART,8,0.040368
60,0.00921,ART,12,0.032754
60,0.00921,ART,20,0.028107
60,0.00921,ART,35,0.027113
60,0.00921,ART,60,0.029355
60,0.00921,ART,100,0.034272
60,0.00921,SIRT,20,0.133985
60,0.00921,SIRT,50,0.10079
60,0.00921,SIRT,100,0.075663
60,0.00921,SIRT,200,0.053639
60,0.00921,SIRT,400,0.039124
60,0.00921,SIRT,800,0.030562
60,0.00921,SIRT,1600,0.025056
60,0.00921,SIRT,3200,0.023122
90,0.00897,ART,1,0.188325
90,0.00897,ART,2,0.115867
90,0.00897,ART,3,0.080942
90,0.00897,ART,5,0.05039
90,0.00897,ART,8,0.034943
90,0.00897,ART,12,0.025568
90,0.00897,ART,20,0.020837
90,0.00897,ART,35,0.021199
90,0.00897,ART,60,0.023446
90,0.00897,ART,100,0.026132
90,0.00897,SIRT,20,0.134007
90,0.00897,SIRT,50,0.100569
90,0.00897,SIRT,100,0.074743
90,0.00897,SIRT,200,0.050783
90,0.00897,SIRT,400,0.033205
90,0.00897,SIRT,800,0.022597
90,0.00897,SIRT,1600,0.017402
90,0.00897,SIRT,3200,0.016736
