lesion,method,rmse,ssim,streak,views
0.74957,FBP-hann,0.0415,0.56316,0.04282,15
0.86672,FBP-ramp,0.05245,0.46859,0.05767,15
0.95734,+CNN,0.01097,0.97577,0.00422,15
0.7576,FBP-hann,0.03386,0.65432,0.0328,20
0.87735,FBP-ramp,0.04153,0.53014,0.04426,20
0.97403,+CNN,0.00841,0.98318,0.00338,20
0.75197,FBP-hann,0.02812,0.80879,0.02495,30
0.86949,FBP-ramp,0.0291,0.65715,0.02895,30
0.98705,+CNN,0.00594,0.99075,0.00218,30
0.74978,FBP-hann,0.02638,0.89723,0.02259,45
0.86443,FBP-ramp,0.02199,0.79429,0.02024,45
0.99296,+CNN,0.00418,0.99606,0.00134,45
0.75109,FBP-hann,0.02602,0.91754,0.02215,60
0.86726,FBP-ramp,0.01962,0.85996,0.01744,60
0.99581,+CNN,0.00349,0.99735,0.00118,60
