case,n_lobe_present,dice_lung,dice_lobe_mean,dice_upper_L,dice_lower_L,dice_upper_R,dice_middle_R,dice_lower_R,sec
s0183,4,0.8047,0.1335,0.0,0.0002,,0.0,0.5337,24.6
s0098,2,0.3362,0.0674,,0.0,,,0.1347,9.7
s0230,5,0.7466,0.0633,0.0,0.0019,0.0,0.0,0.3148,11.8
s0124,5,0.4549,0.0372,0.0,0.0041,0.0,0.0,0.1821,31.1
s0255,5,0.5465,0.0767,0.0,0.0003,0.0,0.0,0.3834,22.5
s0167,4,0.72,0.0025,0.0,0.0,0.0,,0.0098,5.8
s0330,3,0.3577,0.0149,0.0,0.0,,,0.0448,11.0
s0364,5,0.9082,0.0604,0.0,0.0008,0.0,0.0,0.301,8.4
s0246,1,0.0,0.0,,,,0.0,,5.8
s0084,5,0.8127,0.0621,0.0,0.0,0.0,0.0,0.3103,1.8
s0254,4,0.8599,0.0026,0.0,0.0071,0.0,,0.0034,5.7
s0219,5,0.9171,0.0702,0.0,0.0004,0.0,0.0,0.3508,2.2
s0152,2,0.3511,0.0,0.0,,0.0,,,13.5
s0179,2,0.5233,0.1097,,0.0,,,0.2194,15.8
s0338,5,0.839,0.1003,0.0,0.0009,0.0,0.0,0.5005,5.5
s0182,4,0.8713,0.1513,0.0,0.001,,0.0,0.6043,18.6
s0111,5,0.8783,0.0875,0.0,0.0001,0.0,0.0,0.4375,13.4
s0102,5,0.5219,0.0403,0.0,0.0076,0.0,0.0,0.1937,22.3
s0347,5,0.5661,0.0361,0.0,0.0009,0.0,0.0,0.1794,1.3
s0014,5,0.1958,0.0193,0.0,0.0049,0.0,0.0,0.0918,27.3
s0150,5,0.9103,0.1335,0.0,0.0004,0.0,0.0,0.667,19.1
s0046,5,0.9251,0.0837,0.0,0.0012,0.0,0.0,0.4173,13.8
s0073,4,0.4058,0.0976,0.0,0.0,,0.0,0.3905,17.4
s0218,4,0.2955,0.038,0.0,0.0066,,0.0,0.1454,21.9
