case,n_lobe_present,dice_lung,dice_lobe_mean,dice_upper_L,dice_lower_L,dice_upper_R,dice_middle_R,dice_lower_R,sec
s0183,4,0.9786,0.9531,0.9144,0.9721,,0.9468,0.979,55.2
s0098,2,0.3199,0.3232,,0.5538,,,0.0926,29.9
s0230,5,0.9773,0.913,0.9438,0.9437,0.9186,0.8227,0.9364,18.3
s0124,5,0.948,0.9256,0.9638,0.9738,0.9163,0.8789,0.8951,90.5
s0255,5,0.9757,0.7459,0.8746,0.9821,0.0,0.8902,0.9826,58.7
s0167,4,0.9784,0.636,0.9634,0.5641,0.9767,,0.0398,12.1
s0330,3,0.8151,0.3948,0.005,0.7922,,,0.3871,32.1
s0364,5,0.9855,0.9588,0.9773,0.9683,0.957,0.9246,0.9669,13.9
s0246,1,0.0,0.0,,,,0.0,,13.6
s0084,5,0.9883,0.9134,0.9591,0.957,0.881,0.8505,0.9195,2.0
s0254,4,0.9785,0.5954,0.9795,0.4258,0.9764,,0.0,14.0
s0219,5,0.985,0.8382,0.9309,0.8596,0.8193,0.6497,0.9314,6.0
s0152,2,0.9081,0.9031,0.8412,,0.965,,,41.2
s0179,2,0.8354,0.8452,,0.7863,,,0.9041,45.7
s0338,5,0.9792,0.8384,0.9479,0.9685,0.4838,0.8201,0.9716,8.1
s0182,4,0.985,0.9564,0.8999,0.9699,,0.9684,0.9875,59.3
s0111,5,0.9852,0.8929,0.9001,0.8771,0.9137,0.8141,0.9596,20.3
s0102,5,0.952,0.8211,0.8882,0.8625,0.8188,0.6954,0.8409,64.4
s0347,5,0.9544,0.8405,0.9073,0.8849,0.9259,0.5572,0.9272,3.0
s0014,5,0.9507,0.7265,0.847,0.942,0.0,0.8826,0.9608,59.6
s0150,5,0.989,0.755,0.8493,0.9725,0.0,0.9689,0.9842,55.0
s0046,5,0.989,0.9525,0.9552,0.9515,0.9593,0.9234,0.9731,42.3
s0073,4,0.8892,0.4263,0.0,0.7594,,0.0,0.9457,50.7
s0218,4,0.8984,0.7423,0.3437,0.7691,,0.9118,0.9446,54.8
