case,n_lobe_present,dice_lung,dice_lobe_mean,dice_upper_L,dice_lower_L,dice_upper_R,dice_middle_R,dice_lower_R,sec
s0183,4,0.8564,0.4911,0.2831,0.7407,,0.5741,0.3663,25.8
s0098,2,0.273,0.1577,,0.2989,,,0.0166,10.1
s0230,5,0.9078,0.7065,0.671,0.6617,0.8423,0.7069,0.6507,12.7
s0124,5,0.8691,0.6987,0.7532,0.7574,0.7916,0.6165,0.5751,32.7
s0255,5,0.8243,0.3171,0.4422,0.7757,0.0,0.0259,0.3419,22.5
s0167,4,0.8949,0.4511,0.837,0.0,0.9675,,0.0,5.5
s0330,3,0.6913,0.0047,0.0018,0.0124,,,0.0,10.8
s0364,5,0.9499,0.8748,0.9181,0.8598,0.9439,0.8211,0.831,8.3
s0246,1,0.0,0.0,,,,0.0,,5.8
s0084,5,0.9849,0.9076,0.9441,0.9495,0.8793,0.8283,0.9369,1.8
s0254,4,0.9719,0.4851,0.9624,0.0,0.9781,,0.0,5.8
s0219,5,0.9805,0.6348,0.7068,0.3027,0.7302,0.72,0.7145,2.2
s0152,2,0.8894,0.8864,0.8369,,0.9359,,,13.8
s0179,2,0.0038,0.0048,,0.0,,,0.0096,16.0
s0338,5,0.9647,0.7066,0.7338,0.8135,0.3595,0.7518,0.8744,5.6
s0182,4,0.9394,0.6229,0.362,0.7472,,0.8003,0.5823,18.6
s0111,5,0.96,0.7375,0.7305,0.7769,0.9333,0.5783,0.6683,13.4
s0102,5,0.8525,0.6293,0.5227,0.667,0.8412,0.5617,0.5537,22.1
s0347,5,0.9715,0.8799,0.9157,0.9382,0.9133,0.7147,0.9177,1.3
s0014,5,0.5349,0.1203,0.1575,0.2558,0.0,0.1674,0.0209,27.7
s0150,5,0.9278,0.4974,0.2173,0.7668,0.0,0.8348,0.6684,18.7
s0046,5,0.9651,0.7805,0.7743,0.5693,0.9217,0.821,0.8161,13.8
s0073,4,0.5317,0.1559,0.0,0.1615,,0.0,0.4622,17.4
s0218,4,0.0431,0.0153,0.0005,0.0602,,0.0,0.0004,22.1
