layer,mean_128,mean_256,std_128,std_256,std_ratio
norm4,-1.0334,-0.3526,1.3330,0.7804,0.585
norm7,1.2269,0.5865,9.7563,6.9879,0.716
norm11,-4.7983,-3.5190,17.1263,23.2258,1.356
norm14,-7.6070,-4.7957,22.6057,19.7643,0.874
norm18,-15.5391,-10.1973,23.0970,26.0066,1.126
norm21,-16.2269,-11.6851,22.9658,16.3735,0.713
norm25,-9.2394,-5.4649,21.1801,17.5005,0.826
norm28,-11.3315,-9.1298,22.8319,21.6727,0.949
norm37,-57.2813,-32.1504,131.2587,75.4846,0.575
norm40,-11.0016,-9.5187,36.9296,47.4533,1.285
norm44,-65.0911,-70.2165,145.3972,152.5134,1.049
norm47,-9.3492,-5.9548,28.9548,14.5932,0.504
norm51,-29.9501,-29.8058,42.2574,71.8275,1.700
norm54,-0.4053,-0.7800,17.2014,17.7204,1.030
