case,label,organ,dice
s0291,10,lung_upper_lobe_left,0.8635
s0291,11,lung_lower_lobe_left,0.977
s0291,13,lung_middle_lobe_right,0.6202
s0291,14,lung_lower_lobe_right,0.9798
s0081,10,lung_upper_lobe_left,0.9382
s0081,12,lung_upper_lobe_right,0.8451
s0001,11,lung_lower_lobe_left,0.9524
s0001,13,lung_middle_lobe_right,0.0
s0001,14,lung_lower_lobe_right,0.8071
s0151,11,lung_lower_lobe_left,0.44
s0151,14,lung_lower_lobe_right,0.7383
s0328,10,lung_upper_lobe_left,0.829
s0328,11,lung_lower_lobe_left,0.8561
s0328,13,lung_middle_lobe_right,0.946
s0328,14,lung_lower_lobe_right,0.9754
s0236,10,lung_upper_lobe_left,0.9461
s0236,11,lung_lower_lobe_left,0.9787
s0236,12,lung_upper_lobe_right,0.0
s0236,13,lung_middle_lobe_right,0.9378
s0236,14,lung_lower_lobe_right,0.97
s0056,10,lung_upper_lobe_left,0.9328
s0056,12,lung_upper_lobe_right,0.9615
s0132,10,lung_upper_lobe_left,0.2159
s0132,11,lung_lower_lobe_left,0.8335
s0132,12,lung_upper_lobe_right,0.0
s0132,13,lung_middle_lobe_right,0.6316
s0132,14,lung_lower_lobe_right,0.9645
s0168,10,lung_upper_lobe_left,0.8665
s0168,11,lung_lower_lobe_left,0.9696
s0168,13,lung_middle_lobe_right,0.8781
s0168,14,lung_lower_lobe_right,0.9778
s0024,10,lung_upper_lobe_left,0.937
s0024,11,lung_lower_lobe_left,0.9517
s0024,12,lung_upper_lobe_right,0.9148
s0024,13,lung_middle_lobe_right,0.8926
s0024,14,lung_lower_lobe_right,0.9453
s0326,10,lung_upper_lobe_left,0.9652
s0326,11,lung_lower_lobe_left,0.8748
s0326,12,lung_upper_lobe_right,0.9685
s0326,13,lung_middle_lobe_right,0.0
s0326,14,lung_lower_lobe_right,0.8806
s0292,10,lung_upper_lobe_left,0.9835
s0292,11,lung_lower_lobe_left,0.7794
s0292,12,lung_upper_lobe_right,0.9887
s0050,10,lung_upper_lobe_left,0.966
s0050,11,lung_lower_lobe_left,0.9682
s0050,12,lung_upper_lobe_right,0.9565
s0050,13,lung_middle_lobe_right,0.9053
s0050,14,lung_lower_lobe_right,0.9786
s0169,10,lung_upper_lobe_left,0.8879
s0169,11,lung_lower_lobe_left,0.0
s0169,12,lung_upper_lobe_right,0.8676
s0069,10,lung_upper_lobe_left,0.1039
s0069,11,lung_lower_lobe_left,0.9742
s0069,13,lung_middle_lobe_right,0.0
s0069,14,lung_lower_lobe_right,0.9828
s0212,10,lung_upper_lobe_left,0.5668
s0212,11,lung_lower_lobe_left,0.0965
s0212,12,lung_upper_lobe_right,0.0
s0212,13,lung_middle_lobe_right,0.9221
s0212,14,lung_lower_lobe_right,0.8421
s0319,10,lung_upper_lobe_left,0.8044
s0319,11,lung_lower_lobe_left,0.9336
s0319,12,lung_upper_lobe_right,0.0
s0319,13,lung_middle_lobe_right,0.9732
s0319,14,lung_lower_lobe_right,0.9544
s0163,10,lung_upper_lobe_left,0.9067
s0163,11,lung_lower_lobe_left,0.9453
s0163,12,lung_upper_lobe_right,0.9427
s0163,13,lung_middle_lobe_right,0.8985
s0163,14,lung_lower_lobe_right,0.9652
s0045,10,lung_upper_lobe_left,0.9414
s0045,11,lung_lower_lobe_left,0.9726
s0045,12,lung_upper_lobe_right,0.0
s0045,13,lung_middle_lobe_right,0.973
s0045,14,lung_lower_lobe_right,0.9812
s0038,10,lung_upper_lobe_left,0.8101
s0038,11,lung_lower_lobe_left,0.9729
s0038,13,lung_middle_lobe_right,0.6164
s0038,14,lung_lower_lobe_right,0.9419
s0233,11,lung_lower_lobe_left,0.0
s0211,10,lung_upper_lobe_left,0.9087
s0211,11,lung_lower_lobe_left,0.9789
s0211,12,lung_upper_lobe_right,0.0
s0211,13,lung_middle_lobe_right,0.7616
s0211,14,lung_lower_lobe_right,0.9838
s0192,10,lung_upper_lobe_left,0.2981
s0192,11,lung_lower_lobe_left,0.9443
s0192,13,lung_middle_lobe_right,0.803
s0192,14,lung_lower_lobe_right,0.9604
s0306,10,lung_upper_lobe_left,0.0
s0306,11,lung_lower_lobe_left,0.9059
s0306,13,lung_middle_lobe_right,0.0
s0306,14,lung_lower_lobe_right,0.9634
s0253,10,lung_upper_lobe_left,0.7905
s0253,11,lung_lower_lobe_left,0.8892
s0253,12,lung_upper_lobe_right,0.8068
s0253,13,lung_middle_lobe_right,0.5164
s0253,14,lung_lower_lobe_right,0.882
s0042,10,lung_upper_lobe_left,0.8982
s0042,11,lung_lower_lobe_left,0.9812
s0042,13,lung_middle_lobe_right,0.8506
s0042,14,lung_lower_lobe_right,0.9836
s0043,10,lung_upper_lobe_left,0.6049
s0043,12,lung_upper_lobe_right,0.5544
s0162,10,lung_upper_lobe_left,0.9632
s0162,11,lung_lower_lobe_left,0.9729
s0162,12,lung_upper_lobe_right,0.9323
s0162,13,lung_middle_lobe_right,0.8308
s0162,14,lung_lower_lobe_right,0.9738
s0235,10,lung_upper_lobe_left,0.8486
s0235,11,lung_lower_lobe_left,0.9687
s0235,13,lung_middle_lobe_right,0.9079
s0235,14,lung_lower_lobe_right,0.9634
s0342,10,lung_upper_lobe_left,0.7746
s0342,11,lung_lower_lobe_left,0.9706
s0342,13,lung_middle_lobe_right,0.9597
s0342,14,lung_lower_lobe_right,0.9863
s0334,10,lung_upper_lobe_left,0.9429
s0334,11,lung_lower_lobe_left,0.9213
s0334,12,lung_upper_lobe_right,0.8645
s0334,13,lung_middle_lobe_right,0.8465
s0334,14,lung_lower_lobe_right,0.8497
s0227,10,lung_upper_lobe_left,0.4706
s0227,11,lung_lower_lobe_left,0.9464
s0227,13,lung_middle_lobe_right,0.4912
s0227,14,lung_lower_lobe_right,0.9501
