case,label,organ,dice
s0291,10,lung_upper_lobe_left,0.0369
s0291,11,lung_lower_lobe_left,0.4218
s0291,13,lung_middle_lobe_right,0.0
s0291,14,lung_lower_lobe_right,0.7317
s0081,10,lung_upper_lobe_left,0.9381
s0081,12,lung_upper_lobe_right,0.8372
s0001,11,lung_lower_lobe_left,0.8062
s0001,13,lung_middle_lobe_right,0.0
s0001,14,lung_lower_lobe_right,0.3378
s0151,11,lung_lower_lobe_left,0.0646
s0151,14,lung_lower_lobe_right,0.3147
s0328,10,lung_upper_lobe_left,0.0239
s0328,11,lung_lower_lobe_left,0.4983
s0328,13,lung_middle_lobe_right,0.6142
s0328,14,lung_lower_lobe_right,0.2922
s0236,10,lung_upper_lobe_left,0.486
s0236,11,lung_lower_lobe_left,0.7868
s0236,12,lung_upper_lobe_right,0.0
s0236,13,lung_middle_lobe_right,0.1003
s0236,14,lung_lower_lobe_right,0.6645
s0056,10,lung_upper_lobe_left,0.9073
s0056,12,lung_upper_lobe_right,0.9382
s0132,10,lung_upper_lobe_left,0.0196
s0132,11,lung_lower_lobe_left,0.0
s0132,12,lung_upper_lobe_right,0.0
s0132,13,lung_middle_lobe_right,0.0
s0132,14,lung_lower_lobe_right,0.0163
s0168,10,lung_upper_lobe_left,0.4723
s0168,11,lung_lower_lobe_left,0.8286
s0168,13,lung_middle_lobe_right,0.651
s0168,14,lung_lower_lobe_right,0.5489
s0024,10,lung_upper_lobe_left,0.7499
s0024,11,lung_lower_lobe_left,0.7303
s0024,12,lung_upper_lobe_right,0.7725
s0024,13,lung_middle_lobe_right,0.8775
s0024,14,lung_lower_lobe_right,0.6494
s0326,10,lung_upper_lobe_left,0.9502
s0326,11,lung_lower_lobe_left,0.6824
s0326,12,lung_upper_lobe_right,0.9681
s0326,13,lung_middle_lobe_right,0.0
s0326,14,lung_lower_lobe_right,0.8251
s0292,10,lung_upper_lobe_left,0.9745
s0292,11,lung_lower_lobe_left,0.0
s0292,12,lung_upper_lobe_right,0.9841
s0050,10,lung_upper_lobe_left,0.8996
s0050,11,lung_lower_lobe_left,0.8189
s0050,12,lung_upper_lobe_right,0.9371
s0050,13,lung_middle_lobe_right,0.8301
s0050,14,lung_lower_lobe_right,0.8042
s0169,10,lung_upper_lobe_left,0.9484
s0169,11,lung_lower_lobe_left,0.3368
s0169,12,lung_upper_lobe_right,0.8374
s0069,10,lung_upper_lobe_left,0.0
s0069,11,lung_lower_lobe_left,0.0
s0069,13,lung_middle_lobe_right,0.0
s0069,14,lung_lower_lobe_right,0.0017
s0212,10,lung_upper_lobe_left,0.4635
s0212,11,lung_lower_lobe_left,0.0727
s0212,12,lung_upper_lobe_right,0.0
s0212,13,lung_middle_lobe_right,0.8137
s0212,14,lung_lower_lobe_right,0.6881
s0319,10,lung_upper_lobe_left,0.4166
s0319,11,lung_lower_lobe_left,0.5721
s0319,12,lung_upper_lobe_right,0.0
s0319,13,lung_middle_lobe_right,0.3785
s0319,14,lung_lower_lobe_right,0.4209
s0163,10,lung_upper_lobe_left,0.4233
s0163,11,lung_lower_lobe_left,0.1354
s0163,12,lung_upper_lobe_right,0.6583
s0163,13,lung_middle_lobe_right,0.5513
