label,organ,coverage_pct,n_cases,mean_voxels,median_voxels
1,spleen,74.1,220,67672,56376
2,kidney_right,69.0,205,38522,39737
3,kidney_left,69.7,207,38867,40313
4,gallbladder,55.2,164,6587,5396
5,liver,78.5,233,408127,418269
6,stomach,75.8,225,97056,71362
7,pancreas,71.4,212,18797,19433
8,adrenal_gland_right,73.4,218,1018,1012
9,adrenal_gland_left,70.7,210,1201,1200
10,lung_upper_lobe_left,85.5,254,132969,45182
11,lung_lower_lobe_left,83.5,248,162438,148171
12,lung_upper_lobe_right,61.3,182,145576,93077
13,lung_middle_lobe_right,71.0,211,70261,56508
14,lung_lower_lobe_right,81.1,241,185901,171960
15,esophagus,86.2,256,5610,4300
16,trachea,45.1,134,8463,8326
17,thyroid_gland,40.1,119,4296,4126
18,small_bowel,68.7,204,225225,237235
19,duodenum,67.7,201,13864,15070
20,colon,74.7,222,168867,171928
21,urinary_bladder,49.8,148,58136,47162
