case,label,organ,dice
s0291,10,lung_upper_lobe_left,0.8277
s0291,11,lung_lower_lobe_left,0.9616
s0291,13,lung_middle_lobe_right,0.5801
s0291,14,lung_lower_lobe_right,0.9657
s0081,10,lung_upper_lobe_left,0.9384
s0081,12,lung_upper_lobe_right,0.9313
s0001,11,lung_lower_lobe_left,0.9701
s0001,13,lung_middle_lobe_right,0.0
s0001,14,lung_lower_lobe_right,0.6031
s0151,11,lung_lower_lobe_left,0.9357
s0151,14,lung_lower_lobe_right,0.95
s0328,10,lung_upper_lobe_left,0.8308
s0328,11,lung_lower_lobe_left,0.9484
s0328,13,lung_middle_lobe_right,0.9689
s0328,14,lung_lower_lobe_right,0.9757
s0236,10,lung_upper_lobe_left,0.9733
s0236,11,lung_lower_lobe_left,0.9846
s0236,12,lung_upper_lobe_right,0.0
s0236,13,lung_middle_lobe_right,0.9657
s0236,14,lung_lower_lobe_right,0.9889
s0056,10,lung_upper_lobe_left,0.9596
s0056,12,lung_upper_lobe_right,0.9797
s0132,10,lung_upper_lobe_left,0.5167
s0132,11,lung_lower_lobe_left,0.8786
s0132,12,lung_upper_lobe_right,0.75
s0132,13,lung_middle_lobe_right,0.9512
s0132,14,lung_lower_lobe_right,0.9906
s0168,10,lung_upper_lobe_left,0.9725
s0168,11,lung_lower_lobe_left,0.9826
s0168,13,lung_middle_lobe_right,0.9841
s0168,14,lung_lower_lobe_right,0.9919
s0024,10,lung_upper_lobe_left,0.9932
s0024,11,lung_lower_lobe_left,0.9918
s0024,12,lung_upper_lobe_right,0.9877
s0024,13,lung_middle_lobe_right,0.9811
s0024,14,lung_lower_lobe_right,0.9946
s0326,10,lung_upper_lobe_left,0.9698
s0326,11,lung_lower_lobe_left,0.9086
s0326,12,lung_upper_lobe_right,0.9751
s0326,13,lung_middle_lobe_right,0.0806
s0326,14,lung_lower_lobe_right,0.9125
s0292,10,lung_upper_lobe_left,0.9954
s0292,11,lung_lower_lobe_left,0.9258
s0292,12,lung_upper_lobe_right,0.9941
s0050,10,lung_upper_lobe_left,0.9929
s0050,11,lung_lower_lobe_left,0.9908
s0050,12,lung_upper_lobe_right,0.9883
