our_label,best_gt_id,best_gt_organ,dice,iou,our_voxels,gt_voxels
1,1,spleen,0.9659,0.9341,84054,79298
2,2,kidney_right,0.9853,0.971,60535,60178
3,3,kidney_left,0.9772,0.9555,42207,42279
4,4,gallbladder,0.8179,0.6919,4835,6152
5,5,liver,0.9454,0.8964,396582,426997
6,6,stomach,0.84,0.7242,115359,90962
7,7,pancreas,0.8591,0.7529,15984,16577
8,8,adrenal_R,0.9379,0.8831,1200,1120
9,9,adrenal_L,0.9239,0.8586,1033,1162
10,10,lung_upper_L,0.9911,0.9823,478664,479522
11,11,lung_lower_L,0.9909,0.982,451405,457136
12,12,lung_upper_R,0.9671,0.9363,331918,346113
13,13,lung_middle_R,0.9556,0.9149,256614,245918
14,14,lung_lower_R,0.9896,0.9794,484099,490883
15,15,esophagus,0.9328,0.8741,11421,11220
16,16,trachea,0.9554,0.9146,11487,10740
17,17,thyroid,0.7942,0.6587,2006,2547
18,18,small_bowel,0.9097,0.8343,259232,285417
19,19,duodenum,0.8948,0.8096,15476,15263
20,20,colon,0.8554,0.7473,144965,144875
21,21,urinary_bladder,0.8713,0.7719,69348,59554
22,0,(absent in GT),0.0,0.0,2674,0
23,0,(absent in GT),0.0,0.0,3,0
