case,n_organ,mean_dice,min_organ,min_dice,sec
s0139,18,0.9237,duodenum,0.6979,51.7
s0223,16,0.9313,pancreas,0.7817,26.8
s0015,20,0.8858,duodenum,0.5185,76.6
s0271,20,0.9551,gallbladder,0.8653,26.3
s0255,19,0.8882,lung_upper_R,0.0197,55.4
s0091,23,0.9466,?,0.8021,96.2
s0260,18,0.9214,adrenal_R,0.8607,123.7
s0221,10,0.7782,lung_lower_R,0.4444,8.8
s0238,19,0.9477,duodenum,0.8654,27.3
s0266,18,0.8939,lung_upper_R,0.175,31.4
s0090,18,0.9204,lung_upper_L,0.577,31.0
s0021,8,0.939,lung_middle_R,0.8413,20.1
s0322,16,0.8957,duodenum,0.0238,47.0
s0133,19,0.9079,?,0.0,67.9
s0031,20,0.9523,?,0.8244,48.1
s0285,17,0.939,adrenal_L,0.842,48.5
s0314,19,0.8284,?,0.3636,60.9
s0170,7,0.9604,thyroid,0.9341,13.9
s0293,20,0.9063,?,0.1014,48.1
s0358,21,0.8582,lung_lower_R,0.3497,74.2
,,,,,
# summary n=20,,0.9090,ci=0.8889..0.9266,,
