label,organ,n_cases_present,mean_dice,ci_lo,ci_hi,min_dice
5,liver,18,0.9816,0.9764,0.9859,0.9474
1,spleen,17,0.9760,0.9689,0.9824,0.9458
16,trachea,8,0.9709,0.9637,0.9774,0.9552
11,lung_lower_L,19,0.9692,0.9528,0.9826,0.8849
3,kidney_left,17,0.9691,0.9564,0.9799,0.9006
2,kidney_right,16,0.9630,0.9443,0.9779,0.8801
10,lung_upper_L,19,0.9466,0.8994,0.9771,0.5770
13,lung_middle_R,18,0.9395,0.9002,0.9676,0.6690
6,stomach,18,0.9332,0.8972,0.9618,0.7228
4,gallbladder,15,0.9252,0.9098,0.9401,0.8653
15,esophagus,19,0.9221,0.8948,0.9423,0.7181
14,lung_lower_R,20,0.9184,0.8315,0.9823,0.3497
20,colon,18,0.9149,0.8908,0.9349,0.7760
21,urinary_bladder,12,0.9076,0.8689,0.9400,0.7439
18,small_bowel,15,0.8905,0.8418,0.9244,0.6039
17,thyroid,8,0.8832,0.8331,0.9236,0.7272
24,kidney_cyst_R,1,0.8792,nan,nan,0.8792
7,pancreas,17,0.8769,0.8279,0.9172,0.6176
8,adrenal_R,18,0.8759,0.8530,0.8965,0.7608
9,adrenal_L,18,0.8678,0.8209,0.9071,0.5974
19,duodenum,15,0.8028,0.6691,0.8977,0.0238
23,kidney_cyst_L,1,0.8021,nan,nan,0.8021
12,lung_upper_R,12,0.7733,0.5696,0.9363,0.0197
22,prostate,7,0.5539,0.2701,0.7966,0.0000
