case,n_organ,dice_direct,dice_engine,gain
s0139,18,0.5952,0.8559,0.2607
s0223,16,0.7445,0.8593,0.1148
s0015,20,0.7258,0.8495,0.1237
s0271,20,0.8171,0.8994,0.0822
s0255,19,0.6894,0.8447,0.1553
s0091,23,0.7899,0.9002,0.1103
s0260,18,0.7107,0.8664,0.1558
s0221,10,0.0986,0.6552,0.5566
s0238,19,0.6303,0.8798,0.2495
s0266,18,0.7995,0.8661,0.0665
s0090,18,0.6548,0.8518,0.197
s0021,8,0.6913,0.8818,0.1905
s0322,16,0.747,0.7922,0.0452
s0133,19,0.7786,0.8302,0.0517
s0031,20,0.7992,0.8902,0.0911
s0285,17,0.7757,0.873,0.0973
s0314,19,0.3532,0.662,0.3087
s0170,7,0.801,0.8968,0.0958
s0293,20,0.748,0.8323,0.0844
s0358,21,0.7394,0.8109,0.0714
,,,,
# summary n=20 spacing=3.0mm,,0.6845,0.8399,"mean +0.1554 CI[+0.1103,+0.2110] p=1.91e-06"
