label,organ,dice@1.5mm,dice@1.75mm,dice@2.0mm,dice@2.5mm,dice@3.0mm,drop_vs_baseline
4,gallbladder,0.8179,0.8864,0.4501,0.1042,0.5458,0.2721
17,thyroid,0.7942,0.6888,0.8078,0.7608,0.5617,0.2325
9,adrenal_L,0.9239,0.8277,0.8259,0.7140,0.5777,0.3462
19,duodenum,0.8948,0.8783,0.8658,0.7798,0.6637,0.2311
20,colon,0.8554,0.8429,0.8200,0.7805,0.6731,0.1823
7,pancreas,0.8591,0.8411,0.8125,0.6724,0.6907,0.1684
6,stomach,0.8400,0.8345,0.8528,0.8152,0.7050,0.1350
8,adrenal_R,0.9379,0.8276,0.8252,0.7502,0.7056,0.2323
15,esophagus,0.9328,0.8683,0.8625,0.8115,0.7184,0.2144
18,small_bowel,0.9097,0.8972,0.8770,0.8602,0.7989,0.1108
21,urinary_bladder,0.8713,0.8688,0.9196,0.9063,0.8586,0.0127
16,trachea,0.9554,0.9382,0.9202,0.8868,0.8615,0.0939
13,lung_middle_R,0.9556,0.9646,0.9522,0.9363,0.9134,0.0422
1,spleen,0.9659,0.9456,0.9508,0.9496,0.9135,0.0524
5,liver,0.9454,0.9353,0.9419,0.9253,0.9195,0.0259
3,kidney_left,0.9772,0.9621,0.9577,0.9437,0.9258,0.0514
12,lung_upper_R,0.9671,0.9738,0.9636,0.9501,0.9283,0.0388
2,kidney_right,0.9853,0.9699,0.9634,0.9499,0.9354,0.0499
11,lung_lower_L,0.9909,0.9809,0.9797,0.9621,0.9631,0.0278
10,lung_upper_L,0.9911,0.9831,0.9805,0.9743,0.9636,0.0275
14,lung_lower_R,0.9896,0.9810,0.9790,0.9711,0.9657,0.0239
